"","parent_ft","fragments"
"44","FT_291.08603_9.242_RPPOS","FT_139.03881_9.244_RPPOS"
"45","FT_295.13273_14.275_RPPOS","FT_277.12218_14.278_RPPOS"
"46","FT_295.22657_19.776_RPPOS","FT_277.21603_19.776_RPPOS"
"47","FT_301.16437_17.25_RPPOS","FT_135.08028_17.249_RPPOS; FT_163.07523_17.249_RPPOS; FT_181.12217_17.249_RPPOS; FT_195.10141_17.25_RPPOS; FT_209.11706_17.25_RPPOS; FT_227.12762_17.25_RPPOS; FT_241.14325_17.249_RPPOS; FT_269.13818_17.249_RPPOS"
"48","FT_301.1644_17.385_RPPOS","FT_149.05956_17.384_RPPOS; FT_195.10143_17.385_RPPOS; FT_227.12764_17.386_RPPOS; FT_241.14327_17.385_RPPOS; FT_269.1382_17.385_RPPOS"
"49","FT_305.17451_18.919_RPPOS","FT_157.101_18.918_RPPOS; FT_185.13232_18.918_RPPOS; FT_213.12721_18.918_RPPOS; FT_241.1221_18.918_RPPOS; FT_273.14831_18.918_RPPOS"
"50","FT_305.17453_19.41_RPPOS","FT_185.09594_19.41_RPPOS; FT_227.10647_19.41_RPPOS; FT_273.14833_19.41_RPPOS"
"51","FT_305.17456_18.834_RPPOS","FT_199.11159_18.837_RPPOS"
"52","FT_305.1745_18.98_RPPOS","FT_185.13232_18.974_RPPOS; FT_213.12721_18.974_RPPOS; FT_241.12209_18.974_RPPOS; FT_273.14831_18.975_RPPOS"
"53","FT_307.15388_15.319_RPPOS","FT_257.11708_15.317_RPPOS; FT_275.12766_15.323_RPPOS"
"54","FT_309.10959_15.04_RPPOS","FT_269.11709_15.041_RPPOS"
"55","FT_309.18475_20.281_RPPOS","FT_131.08537_20.281_RPPOS; FT_159.08033_20.282_RPPOS; FT_259.14796_20.281_RPPOS; FT_277.15852_20.282_RPPOS"
"56","FT_309.20587_17.547_RPPOS","FT_295.19022_17.546_RPPOS"
"57","FT_311.25791_18.691_RPPOS","FT_279.2317_18.691_RPPOS"
"58","FT_311.25792_16.745_RPPOS","FT_293.24734_16.747_RPPOS"
"59","FT_313.1433_16.282_RPPOS","FT_295.13271_16.283_RPPOS"
"60","FT_314.26882_18.787_RPPOS","FT_296.25822_18.784_RPPOS"
"61","FT_316.28447_18.464_RPPOS","FT_298.27389_18.465_RPPOS"
"62","FT_316.28447_18.778_RPPOS","FT_298.27389_18.777_RPPOS"
"63","FT_318.19094_17.184_RPPOS","FT_107.08537_17.185_RPPOS; FT_135.08028_17.185_RPPOS; FT_163.07522_17.185_RPPOS; FT_195.10141_17.185_RPPOS; FT_209.11706_17.185_RPPOS; FT_227.12762_17.185_RPPOS; FT_241.14325_17.185_RPPOS; FT_269.13818_17.185_RPPOS"
"64","FT_322.20114_18.768_RPPOS","FT_213.12723_18.768_RPPOS"
"65","FT_327.28921_17.235_RPPOS","FT_309.27861_17.235_RPPOS"
"66","FT_331.10219_8.207_RPPOS","FT_169.0494_8.208_RPPOS"
