"","Year","Habitat_plant","Sample_code","Sample_code_by_core","depth","label","Tsoil","pH","GPS","site","habitat","WTD","ALD"
"2015_P_3_30_34","2015","PALSA","core_3","2015_P_3_30_34","30_34","P","2.7",NA,"N 68 21.2085, E 19 02.8370","Palsa Autochamber Site","Palsa","Not Measured","38.5"
"2015_S_1_1_5","2015","BOG","core_1","2015_S_1_1_5","1_5","S","16.3",NA,"N 68 21.1995, E 19 02.8522","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2015_S_1_10_14","2015","BOG","core_1","2015_S_1_10_14","10_14","S","8.9","4.2","N 68 21.1995, E 19 02.8522","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2015_S_1_20_24","2015","BOG","core_1","2015_S_1_20_24","20_24","S","6","4.2","N 68 21.1995, E 19 02.8522","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2015_S_1_30_34","2015","BOG","core_1","2015_S_1_30_34","30_34","S","2.7","4.4","N 68 21.1995, E 19 02.8522","Sphagnum Autochamber Site","Bog","-13.0","Below Detection (>100)"
"2015_S_2_1_5","2015","BOG","core_2","2015_S_2_1_5","1_5","S","17.7",NA,"N 68 21.1990, E 19 02.8524","Sphagnum Autochamber Site","Bog","-16.0","Below Detection (>100)"
"2015_S_2_10_14","2015","BOG","core_2","2015_S_2_10_14","10_14","S","11.2",NA,"N 68 21.1990, E 19 02.8524","Sphagnum Autochamber Site","Bog","-16.0","Below Detection (>100)"
"2015_S_2_20_24","2015","BOG","core_2","2015_S_2_20_24","20_24","S","9.2",NA,"N 68 21.1990, E 19 02.8524","Sphagnum Autochamber Site","Bog","-16.0","Below Detection (>100)"
"2015_S_2_30_34","2015","BOG","core_2","2015_S_2_30_34","30_34","S","7.7",NA,"N 68 21.1990, E 19 02.8524","Sphagnum Autochamber Site","Bog","-16.0","Below Detection (>100)"
"2015_S_3_1_5","2015","BOG","core_3","2015_S_3_1_5","1_5","S","17.7",NA,"N 68 21.1989, E 19 02.8504","Sphagnum Autochamber Site","Bog","-15.0","35.0"
"2015_S_3_10_14","2015","BOG","core_3","2015_S_3_10_14","10_14","S","8.9",NA,"N 68 21.1989, E 19 02.8504","Sphagnum Autochamber Site","Bog","-15.0","35.0"
"2015_S_3_20_24","2015","BOG","core_3","2015_S_3_20_24","20_24","S","6",NA,"N 68 21.1989, E 19 02.8504","Sphagnum Autochamber Site","Bog","-15.0","35.0"
"2015_S_3_30_34","2015","BOG","core_3","2015_S_3_30_34","30_34","S","3.5",NA,"N 68 21.1989, E 19 02.8504","Sphagnum Autochamber Site","Bog","-15.0","35.0"
